Stage,Size,pre_num,pre_gpu,TDP1,pre_TDP,fin_num,fin_gpu,TDP2,fin_TDP,infe_num,infe_gpu,TDP3,infe_TDP,pre_m,fin_m,infe_m,access,price1,pre_price,price2,fin_price,price3,infe_price
Yi-1.5-Chat,9B,,,,,,,,,,,,,,,,Open,,,,,,
Yi-1.5-Chat,34B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA-3.1-Instruct,8B,,,,,,,,,,,,,,,,Open,,,,,,
LLaMA-3.1-Instruct,70B,,,,,,,,,,,,,,,,Open,,,,,,
GLM-4-Chat,9B,,,,,,,,,,,,,,,,Open,,,,,,
Qwen2.5-Instruct,7B,,,,,,,,,,,,,,,,Open,,,,,,
Qwen2.5-Instruct,72B,,,,,,,,,,,,,,,,Open,,,,,,
Gemma2,9B,,,,,,,,,,,,,,,,Open,,,,,,
HuatuoGPT-o1,8B,,,,,,,,,,,,,,,,Open,,,,,,
HuatuoGPT-o1,70B,,,,,,,,,,,,,,,,Open,,,,,,
DeepSeek-Chat,67B,,,,,,,,,,,,,,,,Open,,,,,,
QwQ-Preview,32B,,,,,,,,,,,,,,,,Open,,,,,,
